month,fuel,count,total_month,percentage
2025-01,diesel,372,53930,0.68978305210458
2025-01,electric,1691,53930,3.1355460782495825
2025-01,greendiesel,2525,53930,4.681995178935657
2025-01,hybrid_petrol,2249,53930,4.170220656406453
2025-01,petrol,47093,53930,87.32245503430373
2025-02,diesel,1268,67327,1.8833454631871316
2025-02,electric,2160,67327,3.2082225555869113
2025-02,greendiesel,1919,67327,2.8502680945237424
2025-02,hybrid_petrol,2112,67327,3.1369287210183137
2025-02,petrol,59868,67327,88.9212351656839
2025-03,diesel,1108,77121,1.4367033622489336
2025-03,electric,2976,77121,3.858871124596414
2025-03,greendiesel,2685,77121,3.4815419924534172
2025-03,hybrid_diesel,3,77121,0.003889991053020578
2025-03,hybrid_petrol,2769,77121,3.590461741937993
2025-03,petrol,67580,77121,87.62853178771022
2025-04,diesel,560,65200,0.8588957055214724
2025-04,electric,2892,65200,4.435582822085889
2025-04,greendiesel,3275,65200,5.023006134969325
2025-04,hybrid_diesel,1,65200,0.0015337423312883436
2025-04,hybrid_petrol,2268,65200,3.4785276073619635
2025-04,petrol,56204,65200,86.20245398773007
2025-05,diesel,363,74393,0.4879491349992607
2025-05,electric,4152,74393,5.581170271396503
2025-05,greendiesel,3820,74393,5.13489172368368
2025-05,hybrid_petrol,2695,74393,3.622652668933905
2025-05,petrol,63363,74393,85.17333620098665
2025-06,diesel,257,58858,0.4366441265418465
2025-06,electric,3272,58858,5.5591423425872435
2025-06,greendiesel,3767,58858,6.400149512385742
2025-06,hybrid_diesel,1,58858,0.0016990043834313093
2025-06,hybrid_petrol,2069,58858,3.5152400693193786
2025-06,petrol,49491,58858,84.08542594039893
2025-06,petrol_ng,1,58858,0.0016990043834313093
2025-07,diesel,256,75663,0.3383423866354757
2025-07,electric,2792,75663,3.690046654243157
2025-07,greendiesel,4241,75663,5.605117428597862
2025-07,hybrid_diesel,2,75663,0.002643299895589654
2025-07,hybrid_petrol,2474,75663,3.269761970844402
2025-07,other,1,75663,0.001321649947794827
2025-07,petrol,65897,75663,87.09276660983572
2025-08,diesel,277,78978,0.3507305832003849
2025-08,electric,3461,78978,4.382233026918889
2025-08,greendiesel,4440,78978,5.621818734331079
2025-08,hybrid_diesel,1,78978,0.001266175390615108
2025-08,hybrid_petrol,2901,78978,3.6731748081744287
2025-08,other,1,78978,0.001266175390615108
2025-08,petrol,67897,78978,85.969510496594
